essround,idno,agea,eduyrs,eisced,gndr,iscoco,isco08,hinctnt,hinctnta,male,age,age_rec,years_schooling,educ_level,hincome,occup_cat,emplrel,emplno,isco_mainjob,emplrel_r1,emplno_r1,selfem_mainjob,class16_r1,class8_r1,class5_r1,emplrel_r2,emplno_r2,class16_r2,class8_r2,class5_r2,class5_r
1,2,17,88,1,2,66666,NA,77,NA,female,17,<20,NA,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,5,38,11,4,1,8324,NA,77,NA,male,38,30-44,11,Secondary education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,8,20,17,2,1,8322,NA,77,NA,male,20,20-29,17,Low education,NA,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,13,22,10,2,1,9330,NA,4,NA,male,22,20-29,10,Low education,4,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,15,80,0,1,1,6112,NA,2,NA,male,80,>=65,0,Low education,2,agricultural,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,22,16,10,2,1,66666,NA,77,NA,male,16,<20,10,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,23,61,8,1,2,66666,NA,1,NA,female,61,45-64,8,Low education,1,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,25,22,16,6,1,66666,NA,88,NA,male,22,20-29,16,High education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,27,40,16,4,2,5132,NA,5,NA,female,40,30-44,16,Secondary education,5,service,1,66666,-9,1,66666,1,15,8,4,1,66666,NA,NA,NA,Skilled workers
1,31,42,11,3,2,4190,NA,77,NA,female,42,30-44,11,Secondary education,NA,clerical,1,66666,-9,1,66666,1,11,6,4,1,66666,NA,NA,NA,Skilled workers
