"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"1","Aruba","ABW","Americas","Latin America & Caribbean",NA,NA,107.995,NA,NA,NA,NA,NA,NA,96.8199996948242,"Oranjestad",NA,NA,44558.9287594176
"2","Afghanistan","AFG","Asia","South Asia",61.22381311,110.075927014,42647.492,70.25405,8.325069503,14.9857626,2.45,3.525529744,5.45455,37.2700004577637,"Kabul",8.90189075469971,13.687,1983.81261992909
"3","Angola","AGO","Africa","Sub-Saharan Africa",62.03682911,53.625589721,37885.849,25.85236,9.222726538,2.60041046,2.44,NA,16.93721,66.2399978637695,"Luanda",8.12006568908691,14.02,8901.88736611562
"4","Anguilla","AIA","Americas","Latin America & Caribbean",NA,13.608005998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Albania","ALB","Europe","Europe & Central Asia",77.93851855,8.314520879,2377.128,18.14981,3.733701478,7.35750389,16.45,28.371984873,54.65596,97.6800003051758,"Tirane",12.8893814086914,10.689,20591.4867251508
"6","Andorra","AND","Europe","Europe & Central Asia",NA,2.651405418,81.938,9.94171,NA,6.71966314,45.35,25.624753032,86.43443,NA,NA,NA,NA,65928.3071971004
"7","United Arab Emirates","ARE","Asia","Middle East & North Africa",80.1312721,4.1869155,10986.4,41.7495,0.767525232,4.97095108,28.3,14.333747606,85,98.8099975585938,"Abu Dhabi",13.4558057785034,2.16,69701.8047983545
"8","Argentina","ARG","Americas","Latin America & Caribbean",74.56898059,19.916354147,45696.159,14.18288,6.314158671,10.05355549,54.16,33.6,55.8,99.1399993896484,"Buenos Aires",12.8795232772827,7.15,26771.9657650571
"9","Armenia","ARM","Asia","Europe & Central Asia",75.62030513,9.293115042,3033.5,34.12674,4.136127499,10.32345009,32.55,44.273439002,39.16079,99.8399963378906,"Yerevan",11.2798700332642,12.405,20078.7848984844
"10","American Samoa","ASM","Oceania","East Asia & Pacific",NA,NA,46.765,NA,NA,NA,NA,NA,NA,97.3399963378906,"Pago Pago",NA,NA,NA
"11","Antigua & Barbuda","ATG","Americas","Latin America & Caribbean",76.91527032,8.769149657,93.772,9.26532,3.617889107,3.91348195,29.17,33.201254028,83.78717,98.9499969482422,"Saint John's",12.9675598144531,NA,29371.637778586
"12","Australia","AUS","Oceania","East Asia & Pacific",81.04245453,4.946121077,27196.812,8.93323,1.297812958,9.89226055,38.08,37.726949092,82.34955,NA,NA,13.6014432907104,3.942,60303.9817116245
"13","Austria","AUT","Europe","Europe & Central Asia",81.42361625,2.96854259,9177.982,11.50796,0.494354098,12.185215,50.98,71.882548523,81,NA,NA,13.4275989532471,5.2,63788.078678479
"14","Azerbaijan","AZE","Asia","Europe & Central Asia",71.43112767,18.675833445,10202.83,26.96124,2.471554478,3.41549611,31.85,39.46698848,54.2,99.7799987792969,"Baku",12.4437866210938,5.648,22072.1491157176
"15","Burundi","BDI","Africa","Sub-Saharan Africa",62.32268744,91.464891342,14047.786,27.99587,5.709213049,7.29396152,0.94,6.863095777,1.22,71.4078166079164,"Bujumbura",7.63557195663452,0.915,1051.25931339275
"16","Belgium","BEL","Europe","Europe & Central Asia",81.1512532,3.179650388,11858.61,11.25612,1.257088477,11.46253014,32.52,54.995123951,82,NA,NA,13.5244760513306,5.7,63347.7858809235
"17","Benin","BEN","Africa","Sub-Saharan Africa",64.40363479,65.060889283,14462.724,31.51453,5.840635388,2.91589761,2.14,4.332227501,3.7977,51.3800010681152,"Porto-Novo",9.22453594207764,1.637,3901.32588494392
"18","Caribbean Netherlands","BES","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Burkina Faso","BFA","Africa","Sub-Saharan Africa",62.29728841,44.803785879,23548.781,40.74491,9.304092067,7.41435528,1.08,NA,3.72503,41.442033530681,"Ouagadougou",7.01878643035889,3.441,2547.67232852209
"20","Bangladesh","BGD","Asia","South Asia",73.10251672,28.646912593,173562.364,45.98906,2.738050749,2.05873919,7.22,9.678888307,6.3,79,"Dhaka",10.1635427474976,3.635,8486.78495660517
"21","Bulgaria","BGR","Europe","Europe & Central Asia",71.30586,7.262197898,6441.421,17.29031,2.95697691,7.63849449,43.27,77.409848714,55.1481,98.3499984741211,"Sofia",12.3093404769897,4.2,32561.9139604771
"22","Bahrain","BHR","Asia","Middle East & North Africa",75.64496177,6.32726528,1588.67,51.81722,0.521280769,4.14491081,6.87,19.924724324,88,97.8199996948242,"Manama",12.8496723175049,1.084,58891.8304860737
"23","Bahamas","BHS","Americas","Latin America & Caribbean",73.21936648,13.689998301,401.283,5.61226,40.84501532,6.30260801,18.95,21.73042259,71.7482,NA,NA,NA,9.049,36244.0500123244
"24","Bosnia & Herzegovina","BIH","Europe","Europe & Central Asia",77.09808482,5.964013136,3164.253,31.40318,1.479784064,9.70311832,24.57,23.935629189,65.35609,96.9899978637695,"Sarajevo",11.7178030014038,10.69,19532.10799535
"25","Belarus","BLR","Europe","Europe & Central Asia",72.59208184,2.096187342,9132.629,15.48201,2.427885545,5.38792181,47.96,97.65479946,46.90601,99.870002746582,"Minsk",13.8077774047852,3.458,29040.9725790425
"26","Belize","BLZ","Americas","Latin America & Caribbean",74.2195742,18.39861674,417.072,11.36383,37.27791517,5.33901167,13.36,10.02174622,25,87.879997253418,"Belmopan",NA,8.698,12621.4081961897
"27","Bermuda","BMU","Americas","North America",NA,NA,64.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109311.936941299
"28","Bolivia","BOL","Americas","Latin America & Caribbean",70.13714581,23.891027837,12413.315,25.23416,8.315823234,6.91864729,4.61,13.731877683,34.18843,95.5500030517578,"La Paz",NA,3.274,11329.1518061536
"29","Brazil","BRA","Americas","Latin America & Caribbean",74.11393563,15.324671994,211998.573,11.15102,31.72576722,7.9766016,13.79,25.181114995,49.848,94.8005123042056,"Brasilia",11.9070472717285,6.801,19652.3654991704
"30","Barbados","BRB","Americas","Latin America & Caribbean",76.8418344,46.856706116,282.467,10.35542,12.69334526,5.40463829,25.67,62.65983749,73.32981,99.2699966430664,"Bridgetown",NA,6.448,21837.7254102057
"31","Brunei","BRN","Asia","East Asia & Pacific",76.41822612,8.433893743,462.721,6.86475,0.6795521,2.41600895,20.94,34.19252424,60.27306,96.0899963378906,"Bandar Seri Begawan",13.1694107055664,5.18,79071.7333801445
"32","Bhutan","BTN","Asia","South Asia",73.28424565,20.341120911,791.524,26.09506,1.941190911,3.37511158,5.53,21.617854822,25.43435,64.9100036621094,"Thimphu",10.2245693206787,3.282,14610.2959119536
"33","Botswana","BWA","Africa","Sub-Saharan Africa",64.91884565,41.466965167,2521.139,12.8184,15.43841291,6.62986994,3.88,23.94804137,11.5,81.1900024414062,"Gaborone",8.11846351623535,23.81,18068.5050714283
"34","Central African Republic","CAF","Africa","Sub-Saharan Africa",51.26742466,83.566459754,5330.69,27.19802,19.41818814,6.66541576,0.74,NA,3,42.439998626709,"Bangui",4.56999969482422,6.253,1111.21941638883
"35","Canada","CAN","Americas","North America",81.29950989,5.026381051,41288.599,6.38944,1.641430353,13.01732922,28.19,25.358269532,86.76586,NA,NA,13.7220153808594,6.351,56706.8238031978
"36","Switzerland","CHE","Europe","Europe & Central Asia",81.89043047,3.497912379,9005.582,10.01045,0.493753064,11.98960876,45.59,44.131262099,85.2,NA,NA,13.2655611038208,4.343,82286.1801896488
"37","Chile","CHL","Americas","Latin America & Caribbean",79.00490643,7.08842469,19764.771,20.48648,3.850856441,9.69734573,34.9,19.53916617,61.41816,96.4000015258789,"Santiago",13.0017833709717,8.718,30182.7871224714
"38","China","CHN","Asia","East Asia & Pacific",77.48113543,17.658305873,1408975,38.153,0.671680969,5.26516867,28.19,53.768165072,42.30012,96.7399978637695,"Beijing",13.1377935409546,4.59,23845.6197217259
