"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"1","Aruba","ABW","Americas","Latin America & Caribbean",NA,NA,105.439,NA,NA,NA,NA,NA,NA,97.9899978637695,"Oranjestad",NA,NA,40516.8085633136
"2","Afghanistan","AFG","Asia","South Asia",59.1269,44.76813,35643.418,55.999,13.29011,23.08817,3.17,3.62623,5.45455,37,"Kabul",8.90189075469971,13.991,1992.42439419795
"3","Angola","AGO","Africa","Sub-Saharan Africa",62.13113,45.74393,30208.628,33.19324,15.26225,2.92738,2.44,7.5361,16.93721,72.4000015258789,"Luanda",8.12006568908691,14.537,7244.89305295156
"4","Anguilla","AIA","Americas","Latin America & Caribbean",NA,5.43623,NA,NA,NA,NA,15.132,NA,NA,NA,NA,NA,NA,NA
"5","Albania","ALB","Europe","Europe & Central Asia",76.39089,8.39564,2873.457,15.65032,4.96622,6.19368,18.79,29.07025,54.65596,98.5,"Tirane",12.8893814086914,10.108,17975.7983946412
"6","Andorra","AND","Europe","Europe & Central Asia",NA,2.571,73.837,7.9595,NA,7.53679,50.68,28.13753,86.43443,NA,NA,NA,NA,64631.2963909271
"7","United Arab Emirates","ARE","Asia","Middle East & North Africa",78.30646,4.27008,9068.296,39.03064,0.94339,4.67551,29.92,19.8,85,98,"Abu Dhabi",13.4558057785034,2.151,68577.5405661277
"8","Argentina","ARG","Americas","Latin America & Caribbean",74.56898,8.39315,44044.811,12.04087,1.87519,9.86305,51.06,33.38798,55.8,97,"Buenos Aires",12.8795232772827,6.139,27104.9799978169
"9","Armenia","ARM","Asia","Europe & Central Asia",72.98458,9.15217,2851.923,36.23722,6.3539,9.96213,33.6,45.87597,39.16079,100,"Yerevan",11.2798700332642,13.245,19230.1899296884
"10","American Samoa","ASM","Oceania","East Asia & Pacific",NA,NA,49.463,NA,NA,NA,NA,NA,NA,97,"Pago Pago",NA,NA,NA
"11","Antigua & Barbuda","ATG","Americas","Latin America & Caribbean",76.91527,8.07704,91.119,8.42492,2.41814,5.72999,29.17,32.91462,83.78717,99,"Saint John's",12.9675598144531,NA,28967.2556775267
"12","Australia","AUS","Oceania","East Asia & Pacific",83.10184,3.20499,24594.202,9.11918,1.27021,9.92688,40.86,38.36467,82.34955,NA,NA,13.6014432907104,3.668,60408.9433675784
"13","Austria","AUT","Europe","Europe & Central Asia",80.99298,2.62362,8797.566,11.24438,0.49611,11.15729,55.15,70.58214,81,NA,NA,13.4275989532471,5.264,64336.037528916
"14","Azerbaijan","AZE","Asia","Europe & Central Asia",72.91294,16.145,9854.033,24.24792,3.93767,3.97841,31.85,38.96019,54.2,100,"Baku",12.4437866210938,5.636,21262.2979971542
"15","Burundi","BDI","Africa","Sub-Saharan Africa",64.00695,36.40842,11155.593,27.98342,3.12379,8.39523,0.78,7.06247,1.22,75.5400009155273,"Bujumbura",7.63557195663452,0.921,828.861074309521
"16","Belgium","BEL","Europe","Europe & Central Asia",81.50596,3.06236,11375.158,11.25612,1.13584,10.76192,65.25,54.80295,82,NA,NA,13.5244760513306,5.528,62876.2387717275
"17","Benin","BEN","Africa","Sub-Saharan Africa",64.01269,53.62166,11596.779,31.27388,2.88841,2.67981,2.16,4.47107,3.7977,47.0999984741211,"Porto-Novo",9.22453594207764,1.657,3721.2245272339
"18","Caribbean Netherlands","BES","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Burkina Faso","BFA","Africa","Sub-Saharan Africa",62.29729,50.07143,19835.858,38.46883,9.56286,6.77182,1.48,1.97931,3.72503,34.4900016784668,"Ouagadougou",7.01878643035889,5.348,2482.07225343805
"20","Bangladesh","BGD","Asia","South Asia",73.10252,24.06846,161793.964,50.1194,2.83522,2.39039,7.22,8.83279,6.3,76,"Dhaka",10.1635427474976,4.454,8242.39798977242
"21","Bulgaria","BGR","Europe","Europe & Central Asia",71.30586,5.04748,7075.947,17.29031,1.20637,7.66358,43.28,77.68254,55.1481,98.4199981689453,"Sofia",12.3093404769897,4.319,33111.7332099418
"22","Bahrain","BHR","Asia","Middle East & North Africa",74.38372,5.57354,1456.834,51.58654,0.28159,3.83745,7.41,17.39406,88,98,"Manama",12.8496723175049,1.154,57213.0913557711
"23","Bahamas","BHS","Americas","Latin America & Caribbean",70.43274,11.17223,399.02,4.86007,68.25675,7.21692,18.95,26.77091,71.7482,NA,NA,NA,8.643,33105.603858971
"24","Bosnia & Herzegovina","BIH","Europe","Europe & Central Asia",74.84944,5.22491,3440.027,29.67038,1.48009,8.71645,25.84,23.42361,65.35609,98.3000030517578,"Sarajevo",11.7178030014038,10.668,19829.2822572462
"25","Belarus","BLR","Europe","Europe & Central Asia",73.12325,1.93441,9458.989,14.67185,3.83284,6.6592,47.17,96.85991,46.90601,100,"Minsk",13.8077774047852,3.461,27718.3231175409
"26","Belize","BLZ","Americas","Latin America & Caribbean",73.32055,9.40204,374.693,10.44292,65.90166,4.23174,10.86,10.31235,25,90.9160385131836,"Belmopan",NA,8.267,12455.2960650024
"27","Bermuda","BMU","Americas","North America",NA,NA,63.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98041.688720843
"28","Bolivia","BOL","Americas","Latin America & Caribbean",65.41063,19.55977,11435.533,25.23416,3.08692,8.43143,12.84,13.5188,34.18843,94,"La Paz",NA,3.024,9843.97014174079
"29","Brazil","BRA","Americas","Latin America & Caribbean",72.38841,12.52823,208504.96,11.25509,60.27932,9.14277,23.57,24.61999,49.848,94.6900024414062,"Brasilia",11.9070472717285,7.947,19018.2390697496
"30","Barbados","BRB","Americas","Latin America & Caribbean",76.84183,10.07733,279.187,9.18889,16.93192,6.29389,29.58,56.64552,73.32981,99.5,"Bridgetown",NA,7.878,19224.4621182944
"31","Brunei","BRN","Asia","East Asia & Pacific",76.92261,8.52315,430.276,6.76132,0.69175,1.81768,18.86,38.70913,60.27306,97.5899963378906,"Bandar Seri Begawan",13.1694107055664,5.183,76828.3998314969
"32","Bhutan","BTN","Asia","South Asia",74.87643,20.10938,756.121,26.09506,3.39931,4.38546,5.53,21.99395,25.43435,72.0999984741211,"Thimphu",10.2245693206787,3.126,14061.3120213689
"33","Botswana","BWA","Africa","Sub-Saharan Africa",61.23119,31.17233,2401.84,14.77706,16.89481,5.72839,3.79,22.21816,11.5,86.8231811523438,"Gaborone",8.11846351623535,23.381,18846.2504612042
"34","Central African Republic","CAF","Africa","Sub-Saharan Africa",52.30773,73.52477,4996.741,32.17288,34.7064,9.95509,0.74,10,3,37.4900016784668,"Bangui",4.56999969482422,5.877,1135.13627681714
"35","Canada","CAN","Americas","North America",81.58276,4.34223,36545.236,5.19552,2.39944,11.23433,28.19,25.56144,86.76586,NA,NA,13.7220153808594,5.415,56686.9159498906
"36","Switzerland","CHE","Europe","Europe & Central Asia",83.32796,3.54122,8451.84,7.7901,0.49275,11.70653,44.77,44.40248,85.2,NA,NA,13.2655611038208,4.043,81683.8662644452
"37","Chile","CHL","Americas","Latin America & Caribbean",79.02405,5.42874,18368.577,20.48648,1.02497,10.06173,33.34,19.71715,61.41816,97.1600036621094,"Santiago",13.0017833709717,9.013,29490.7584920368
"38","China","CHN","Asia","East Asia & Pacific",77.6162,4.78114,1396215,31.12746,0.69985,5.36949,31.12,50.04597,42.30012,97,"Beijing",13.1377935409546,4.67,22137.5998277466
"39","Côte d’Ivoire","CIV","Africa","Sub-Saharan Africa",63.51741,52.40967,24848.016,54.064,11.48894,3.64241,1.66,4,2.37896,50.0006408691406,"Yamoussoukro",8.05733776092529,2.27,6485.31584901747
"40","Cameroon","CMR","Africa","Sub-Saharan Africa",61.76935,46.9746,24393.181,56.36692,6.43916,4.47836,1.36,26.49,5.69899,78.2300033569336,"Yaounde",8.72147846221924,3.613,4870.57076514365
