02202307101049Almería                                           00740534008370051610800516114000000000000000000192996002468960000246400003163003187780000060000000000000000S
02202307101119Cádiz                                             01246781015280101795601017958000000000000000000388082005090850000710300007703006299950000090000000000000000S
02202307101149Córdoba                                           00772464009480064528800645288000000000000000000288454003517090000434800006962004442540000060000000000000000S
02202307101189Granada                                           00921987011210076547700765478000000000000000000309560003843340000405700006641004987880000070000000000000000S
02202307101219Huelva                                            00528763006510040249100402504000000000000000000155282001955540000241000004057002543940000050000000000000000S
02202307101239Jaén                                              00623761008730051836900518371000000000000000000231732002791340000249700004926003662340000050000000000000000S
02202307101299Málaga                                            01717504017340123984301239846000000000000000000472991006238540000750900010219007808290000110000000000000000S
02202307101419Sevilla                                           01948393025880156406401564082000000000000000000652536008136770001095100015775010484070000120000000000000000S
02202307101999Andalucía                                         08500187102800666959606669641000000000000000002691633034042430004133900059446043416790000610000000000000000S
02202307102229Huesca                                            00225456004030017338800173391000000000000000000068223000867850000121700001253001186780000030000000000000000S
02202307102449Teruel                                            00134421003280010635200106352000000000000000000042452000549380000041000000648000755030000030000000000000000S
02202307102509Zaragoza                                          00966438014670074006000740060000000000000000000301703003733850000469300004705005140120000070000000000000000S
02202307102999Aragón                                            01326315021980101980001019803000000000000000000412378005151080000632000006606007081930000130000000000000000S
02202307103339Asturias                                          01004686015280095901600959023000000000000000000326255004521610000607900006151005909530000070000000000000000S
02202307103999Principado de Asturias                            01004686015280095901600959023000000000000000000326255004521610000607900006151005909530000070000000000000000S
02202307104079Illes Balears                                     01176659012490082874200828755000000000000000000296641003866780000470400004953004985760000080000000000000000S
02202307104999Illes Balears                                     01176659012490082874200828755000000000000000000296641003866780000470400004953004985760000080000000000000000S
02202307105359Las Palmas                                        01129395015640089887100898882000000000000000000242408003794370000306200005575005262750000080000000000000000S
02202307105389Santa Cruz de Tenerife                            01048306013790088121600881217000000000000000000225044003547770000508800006404004892850000070000000000000000S
02202307105999Canarias                                          02177701029430178008701780099000000000000000000467452007342140000815000011979010155600000150000000000000000S
02202307106399Cantabria                                         00585402007770050781900507818000000000000000000200621002820360000326200004995003468880000050000000000000000S
02202307106999Cantabria                                         00585402007770050781900507818000000000000000000200621002820360000326200004995003468880000050000000000000000S
02202307107029Albacete                                          00385727005210030798500307988000000000000000000133681001639840000183400002726002193570000040000000000000000S
02202307107139Ciudad Real                                       00490806007070039148100391495000000000000000000174800002167940000235300003916002806260000050000000000000000S
02202307107169Cuenca                                            00195215003830015267900152694000000000000000000067864000861000000096900001472001128390000030000000000000000S
02202307107199Guadalajara                                       00268127005870019698300196983000000000000000000078708001037030000114300001831001397700000030000000000000000S
02202307107459Toledo                                            00713453009030054256300542567000000000000000000240010003045770000261100005788003845890000060000000000000000S
02202307107999Castilla-La Mancha                                02053328031010159169101591727000000000000000000695063008751580000891000015733011371810000210000000000000000S
02202307108059Ávila                                             00158140003580013666900136669000000000000000000055491000749150000063200001164000973240000030000000000000000S
02202307108099Burgos                                            00355045007460029640100296401000000000000000000111754001451160000185100002317002007180000040000000000000000S
02202307108249León                                              00448179007220042291100422917000000000000000000148014002030480000157700002486002736630000040000000000000000S
02202307108349Palencia                                          00158008003350013764200137642000000000000000000053458000711610000083300001117000961290000030000000000000000S
02202307108379Salamanca                                         00325898006480030050200300506000000000000000000112231001469960000164900002309001974610000040000000000000000S
02202307108409Segovia                                           00153803003300011945300119454000000000000000000050811000671680000087500001332000877380000030000000000000000S
02202307108429Soria                                             00088377002560007576600075768000000000000000000027871000362210000028500000388000504840000020000000000000000S
02202307108479Valladolid                                        00517975007630043137500431381000000000000000000177472002321580000241900003003003138900000050000000000000000S
02202307108499Zamora                                            00167215003690016299700162998000000000000000000058114000774400000092200001261001024880000030000000000000000S
02202307108999Castilla y León                                   02372640045270208371602083736000000000000000000795216010542230001104300015377014198950000310000000000000000S
02202307109089Barcelona                                         05727615064720424348504243500000000000000000001492966019806770002105900021242026464190000320000000000000000S
02202307109179Girona                                            00793478008630054637100546370000000000000000000181058002427860000298100004171003200070000060000000000000000S
02202307109259Lleida                                            00441443005490031722400317225000000000000000000104797001348400000205900002390001824800000040000000000000000S
02202307109439Tarragona                                         00830075010390059665700596689000000000000000000215971002836410000316800004402003648560000060000000000000000S
02202307109999Cataluña                                          07792611089230570373705703784000000000000000001994792026419440002926700032205035137620000480000000000000000S
02202307110069Badajoz                                           00666971009020055068500550702000000000000000000241838002983970000322500006772003882360000050000000000000000S
02202307110109Cáceres                                           00387805005240033948200339491000000000000000000147181001823480000172100003896002341300000040000000000000000S
02202307110999Extremadura                                       01054776014260089016700890193000000000000000000389019004807450000494600010668006223660000090000000000000000S
02202307111159A Coruña                                          01119180015440108567301085673000000000000000000354382005161420000519700005485006725050000080000000000000000S
02202307111279Lugo                                              00323989005330033775400337755000000000000000000100111001452610000125100002143001973150000040000000000000000S
02202307111329Ourense                                           00304280005390035576500355765000000000000000000098689001352100000110900001794001851620000040000000000000000S
02202307111369Pontevedra                                        00943015013440090943300909434000000000000000000311525004439240000386500006001005692590000070000000000000000S
02202307111999Galicia                                           02690464039600268862502688627000000000000000000864707012405370001142200015423016242410000230000000000000000S
02202307112289Madrid                                            06750336071180522453305224561000000000000000001979419026033640002896000030827035797130000370000000000000000S
02202307112999Comunidad de Madrid                               06750336071180522453305224561000000000000000001979419026033640002896000030827035797130000370000000000000000S
02202307113319Navarra                                           00664117009970051991300519918000000000000000000202244002536580000289000003251003389540000050000000000000000S
02202307113999Comunidad Foral de Navarra                        00664117009970051991300519918000000000000000000202244002536580000289000003251003389540000050000000000000000S
02202307114019Araba/Álava                                       00334412004270026021300260214000000000000000000091328001214060000072200001431001683850000040000000000000000S
02202307114209Gipuzkoa                                          00724418008580058587800585873000000000000000000214787002937370000200500002344003746160000060000000000000000S
02202307114489Bizkaia                                           01149344014100094298000942983000000000000000000329580004807940000339100005251006063020000080000000000000000S
02202307114999País Vasco                                        02208174026950178907101789070000000000000000000635695008959370000611800009026011493030000180000000000000000S
02202307115309Murcia                                            01531878017260109970001099703000000000000000000469830005850150000503400007458007427630000100000000000000000S
02202307115999Región de Murcia                                  01531878017260109970001099703000000000000000000469830005850150000503400007458007427630000100000000000000000S
02202307116269La Rioja                                          00319892005160025209200252091000000000000000000107246001338900000160800002282001730550000040000000000000000S
02202307116999La Rioja                                          00319892005160025209200252091000000000000000000107246001338900000160800002282001730550000040000000000000000S
02202307117039Alacant/Alicante                                  01901594022270130626801306311000000000000000000571994007152130000657500009650008926170000120000000000000000S
02202307117129Castelló/Castellón                                00590616007400043082600430830000000000000000000195100002471590000265500003651003052750000050000000000000000S
02202307117469València/Valencia                                 02605757032000199931401999340000000000000000000902181011289970001081000014026014263510000160000000000000000S
02202307117999Comunitat Valenciana                              05097967061670373640803736481000000000000000001669275020913690002004000027327026242430000330000000000000000S
02202307118519Ceuta                                             00083117000960006331000063310000000000000000000016557000237140000032800000353000329930000010000000000000000S
02202307118999Ciudad Autónoma de Ceuta                          00083117000960006331000063310000000000000000000016557000237140000032800000353000329930000010000000000000000S
02202307119529Melilla                                           00085170000870006111800061118000000000000000000012849000176130000025300000300000270960000010000000000000000S
02202307119999Ciudad Autónoma de Melilla                        00085170000870006111800061118000000000000000000012849000176130000025300000300000270960000010000000000000000S
02202307199999España                                            47475420603143746914137469458000000000000000014226892186716070020067300264360244874140003500000000000000000S
