sections,num_articles,date_saved
portada_apertura,5,2026-03-12T18:22:00Z
portada_arrevistada,1,2026-03-12T18:22:00Z
"portada_tematicos_science,-tech-&-health",5,2026-03-12T18:22:00Z
portada_tematicos_business-&-economy,2,2026-03-12T18:22:00Z
portada_tematicos_undefined,1,2026-03-12T18:22:00Z
portada_branded_,2,2026-03-12T18:22:00Z
portada_arrevistada_culture,5,2026-03-12T18:22:00Z
portada_tematicos_work-&-lifestyle,3,2026-03-12T18:22:00Z
portada_arrevistada,1,2026-03-12T18:22:00Z
"portada_tematicos_celebrities,-movies-&-tv",4,2026-03-12T18:22:00Z
portada_tematicos_our-selection,4,2026-03-12T18:22:00Z
portada_apertura,5,2026-03-12T17:25:00Z
portada_arrevistada,1,2026-03-12T17:25:00Z
"portada_tematicos_science,-tech-&-health",5,2026-03-12T17:25:00Z
portada_tematicos_business-&-economy,2,2026-03-12T17:25:00Z
portada_tematicos_undefined,1,2026-03-12T17:25:00Z
portada_branded_,2,2026-03-12T17:25:00Z
portada_arrevistada_culture,5,2026-03-12T17:25:00Z
portada_tematicos_work-&-lifestyle,3,2026-03-12T17:25:00Z
portada_arrevistada,1,2026-03-12T17:25:00Z
"portada_tematicos_celebrities,-movies-&-tv",4,2026-03-12T17:25:00Z
portada_tematicos_our-selection,4,2026-03-12T17:25:00Z
portada_apertura,5,2026-03-12T17:25:00Z
portada_arrevistada,1,2026-03-12T17:25:00Z
"portada_tematicos_science,-tech-&-health",5,2026-03-12T17:25:00Z
portada_tematicos_business-&-economy,2,2026-03-12T17:25:00Z
portada_tematicos_undefined,1,2026-03-12T17:25:00Z
portada_branded_,2,2026-03-12T17:25:00Z
portada_arrevistada_culture,5,2026-03-12T17:25:00Z
portada_tematicos_work-&-lifestyle,3,2026-03-12T17:25:00Z
portada_arrevistada,1,2026-03-12T17:25:00Z
"portada_tematicos_celebrities,-movies-&-tv",4,2026-03-12T17:25:00Z
portada_tematicos_our-selection,4,2026-03-12T17:25:00Z
portada_apertura,5,2026-03-12T17:32:00Z
portada_arrevistada,1,2026-03-12T17:32:00Z
"portada_tematicos_science,-tech-&-health",5,2026-03-12T17:32:00Z
portada_tematicos_business-&-economy,2,2026-03-12T17:32:00Z
portada_tematicos_undefined,1,2026-03-12T17:32:00Z
portada_branded_,2,2026-03-12T17:32:00Z
portada_arrevistada_culture,5,2026-03-12T17:32:00Z
portada_tematicos_work-&-lifestyle,3,2026-03-12T17:32:00Z
portada_arrevistada,1,2026-03-12T17:32:00Z
"portada_tematicos_celebrities,-movies-&-tv",4,2026-03-12T17:32:00Z
portada_tematicos_our-selection,4,2026-03-12T17:32:00Z
portada_apertura,5,2026-03-12T18:10:00Z
portada_arrevistada,1,2026-03-12T18:10:00Z
"portada_tematicos_science,-tech-&-health",5,2026-03-12T18:10:00Z
portada_tematicos_business-&-economy,2,2026-03-12T18:10:00Z
portada_tematicos_undefined,1,2026-03-12T18:10:00Z
portada_branded_,2,2026-03-12T18:10:00Z
portada_arrevistada_culture,5,2026-03-12T18:10:00Z
portada_tematicos_work-&-lifestyle,3,2026-03-12T18:10:00Z
portada_arrevistada,1,2026-03-12T18:10:00Z
"portada_tematicos_celebrities,-movies-&-tv",4,2026-03-12T18:10:00Z
portada_tematicos_our-selection,4,2026-03-12T18:10:00Z
portada_apertura,5,2026-03-12T18:21:00Z
portada_arrevistada,1,2026-03-12T18:21:00Z
"portada_tematicos_science,-tech-&-health",5,2026-03-12T18:21:00Z
