happiness;Income
9;98
7;98
7;99
7;98
6;99
6;99
6;99
5;99
8;99
6;99
8;5
7;98
8;8
7;98
9;8
9;98
6;99
5;99
8;99
6;99
9;99
8;98
9;7
10;8
8;7
8;5
8;98
8;6
5;4
8;98
8;98
8;7
8;98
5;3
8;98
7;7
8;98
8;98
7;98
10;98
8;98
3;3
7;98
8;7
8;7
7;4
3;4
8;3
10;5
8;8
8;7
8;98
10;6
9;5
9;98
6;99
9;5
10;5
6;6
7;99
8;99
9;99
7;4
6;3
8;4
8;7
10;6
10;6
7;5
8;99
7;8
9;6
1;6
7;6
8;5
5;6
7;5
7;98
8;6
8;5
6;99
8;8
5;99
7;6
6;8
6;4
5;4
3;99
8;98
7;7
7;5
7;99
8;98
7;6
9;98
6;99
8;5
8;99
7;98
5;99
8;99
8;99
8;99
7;99
5;5
10;98
8;98
6;99
9;7
4;4
7;5
7;99
5;6
5;3
7;98
8;98
10;98
8;99
0;98
8;99
6;99
7;98
10;4
9;4
10;6
1;99
5;4
7;6
8;98
9;6
7;4
5;5
8;6
4;4
7;99
8;99
8;6
7;8
9;6
8;99
6;99
9;7
6;5
6;7
8;7
6;4
8;5
10;99
7;7
7;99
9;99
8;98
9;99
5;98
7;5
5;99
6;6
10;99
9;99
10;99
4;98
7;3
6;4
7;7
10;3
6;4
8;4
9;5
7;99
5;6
10;99
7;3
8;4
10;5
9;6
10;5
6;98
5;4
9;99
7;6
5;1
7;6
5;99
8;98
5;7
7;6
8;98
7;4
5;1
8;3
9;2
5;4
6;4
9;98
10;3
6;3
8;8
7;99
8;8
10;7
8;6
8;7
8;99
7;7
6;99
5;3
6;5
10;4
6;3
9;8
7;4
9;4
7;8
7;6
7;4
8;7
10;5
4;4
8;5
9;8
9;5
9;4
8;5
3;4
8;6
8;6
8;7
8;6
9;4
6;4
10;3
7;5
5;3
9;5
6;5
8;4
5;3
10;5
7;6
8;7
8;8
8;6
5;5
10;99
10;6
7;6
8;4
7;4
8;7
8;6
10;6
9;8
7;6
8;5
8;4
4;3
8;8
9;99
6;99
10;99
7;99
7;99
9;3
9;7
9;98
10;5
7;99
9;99
7;99
6;98
99;98
9;99
9;99
99;99
6;7
9;4
8;9
7;7
8;99
9;6
9;98
8;6
7;99
7;8
10;99
10;7
10;98
6;4
6;6
9;3
8;5
10;99
7;4
8;3
8;6
8;99
8;99
7;7
7;7
2;99
5;6
10;6
6;8
3;5
5;4
9;98
7;6
10;7
8;8
7;5
8;5
99;5
7;99
8;99
8;99
9;99
8;99
10;99
8;98
7;99
8;99
10;99
9;9
8;99
8;4
7;99
8;99
7;6
3;5
10;99
10;5
7;5
5;99
8;99
10;4
10;99
7;99
9;4
7;4
3;3
8;99
3;3
8;99
7;5
8;99
9;99
8;7
8;99
8;99
8;9
7;8
9;99
9;99
7;99
7;8
8;99
10;99
8;99
6;99
6;99
5;4
9;99
8;99
9;4
8;9
7;8
5;5
4;5
7;6
7;7
8;5
8;7
8;5
9;99
10;5
7;8
7;5
8;4
9;5
9;4
8;7
9;3
10;4
7;3
8;5
7;4
8;5
6;99
7;99
7;99
8;99
8;99
9;99
10;99
8;5
10;3
3;6
10;98
9;99
9;98
7;98
8;99
6;99
8;98
9;99
8;99
8;99
7;99
10;99
10;99
9;98
10;4
3;99
7;8
7;99
8;98
9;99
9;8
9;5
9;6
9;6
9;6
8;6
8;99
6;6
8;99
9;99
8;9
7;99
7;6
8;9
8;4
4;99
5;99
7;99
8;98
8;8
8;99
6;99
10;99
8;6
8;99
7;7
5;98
7;5
8;99
8;4
8;6
7;99
10;99
8;8
8;8
3;7
10;9
6;9
8;5
8;9
8;8
8;7
10;7
10;11
7;99
6;8
9;99
5;6
8;5
8;99
10;8
7;8
3;99
7;99
8;99
7;99
5;5
5;99
6;99
8;99
8;6
5;99
9;6
9;98
5;4
6;98
8;5
6;6
2;4
8;99
8;5
7;99
9;99
8;99
7;99
7;99
8;99
8;99
6;99
7;6
9;98
7;6
7;4
6;6
3;3
8;5
7;99
10;6
10;99
9;99
9;98
8;6
5;6
10;99
7;9
8;98
10;9
7;98
8;99
6;9
6;7
5;99
6;6
7;99
7;7
10;7
7;6
7;6
7;98
9;7
8;7
7;8
8;99
8;99
8;99
8;99
10;5
7;99
8;99
7;7
3;4
99;4
7;4
9;5
7;5
10;4
3;4
9;10
7;6
8;6
10;99
7;8
9;7
9;9
9;6
5;5
9;99
8;98
9;5
7;6
7;7
7;6
9;99
8;99
6;99
10;99
8;99
10;99
8;98
9;99
8;99
1;98
8;7
7;99
9;99
8;98
7;4
8;99
8;99
7;99
10;99
8;7
7;98
99;98
10;99
10;5
9;5
9;4
8;6
5;7
9;7
8;98
6;4
8;8
6;2
7;98
8;10
10;6
7;7
4;7
7;7
8;6
8;7
9;9
9;6
9;9
5;99
9;6
8;98
10;3
8;8
7;6
10;7
8;98
8;99
6;6
8;4
9;98
7;99
8;99
6;99
8;99
7;99
8;10
6;99
8;99
5;7
9;99
10;9
9;6
8;8
9;10
9;4
9;4
6;5
8;6
9;9
10;6
8;7
7;6
8;6
7;4
8;5
8;8
8;4
98;98
7;7
8;11
7;99
8;99
9;6
8;98
6;98
5;4
5;99
7;3
5;4
8;6
8;99
8;99
3;7
8;5
8;98
9;99
10;98
9;7
10;99
2;7
10;7
7;99
9;8
99;99
9;6
7;99
9;4
7;99
6;4
8;3
8;98
5;5
9;98
8;5
7;7
8;5
9;4
9;5
5;4
8;5
7;5
8;4
8;7
9;9
7;7
5;5
8;7
10;9
8;99
9;5
8;5
7;98
8;3
8;5
10;2
6;2
7;6
8;6
9;98
10;6
5;99
10;4
8;4
9;99
8;98
10;6
10;5
10;5
7;98
3;6
10;99
8;6
6;8
5;7
9;6
8;6
6;7
10;8
10;6
10;99
9;8
10;6
10;6
9;6
9;99
0;6
99;99
7;9
5;6
10;6
7;7
8;98
8;99
7;99
8;98
0;99
7;5
9;99
7;99
5;5
8;9
10;5
8;98
7;5
0;4
6;5
8;9
8;6
10;4
7;5
8;4
8;6
9;99
10;5
9;5
6;9
8;9
9;4
8;8
8;9
9;4
8;99
8;99
8;99
8;10
7;10
8;98
7;5
6;5
8;6
6;5
8;4
2;5
6;5
7;6
6;6
9;6
8;98
8;98
10;6
8;5
7;99
6;4
9;5
8;98
6;99
9;9
9;99
6;99
7;99
7;98
7;98
4;99
9;99
6;99
10;99
10;99
7;99
7;99
9;99
7;99
6;99
4;99
6;99
10;99
10;4
8;99
10;99
10;99
8;99
7;99
8;99
9;4
8;99
8;5
6;99
8;5
7;5
5;99
10;8
6;3
7;9
7;6
7;98
99;5
5;8
7;9
8;7
8;9
8;7
7;99
8;7
10;6
9;5
3;5
7;5
10;99
7;7
9;8
10;9
5;6
7;6
10;6
8;6
6;6
7;4
6;3
10;6
10;9
7;3
10;7
6;5
8;7
8;3
5;7
7;4
10;4
5;4
8;6
6;4
7;4
0;99
99;99
8;99
8;99
10;7
9;5
8;99
8;4
5;5
8;99
8;4
7;99
6;4
3;99
10;4
8;8
6;6
4;3
8;8
10;6
8;99
10;6
6;98
9;99
10;99
7;5
9;7
6;98
9;98
10;6
8;5
7;99
5;6
7;6
10;7
6;99
6;3
8;99
7;9
7;99
8;98
7;99
8;11
10;99
0;3
8;98
10;11
7;8
8;4
10;98
9;9
7;4
7;6
6;3
8;98
8;99
7;5
8;98
7;6
7;7
7;4
7;99
6;3
7;4
7;4
7;4
7;7
10;5
8;6
8;6
8;5
8;5
9;7
8;5
7;99
10;6
8;98
7;99
9;6
5;5
10;8
8;5
5;4
7;4
8;6
10;4
7;4
8;6
7;4
4;6
8;6
4;4
8;6
10;6
7;4
5;6
5;6
9;7
6;5
7;6
8;4
9;98
7;4
10;5
7;99
9;6
7;5
6;3
9;7
8;7
10;98
7;98
6;7
9;7
8;8
7;6
8;6
5;6
10;5
8;5
8;99
8;8
6;3
7;5
10;4
98;5
10;8
9;98
7;7
8;8
2;5
7;9
8;8
8;10
5;6
7;98
8;6
8;6
7;9
7;11
7;5
8;99
7;99
7;8
7;99
7;8
8;99
7;99
6;7
7;7
8;99
8;99
9;7
8;99
9;5
6;99
8;99
6;99
8;99
8;99
10;6
8;99
9;10
8;6
8;5
6;99
7;9
8;9
6;6
9;7
8;6
5;6
7;5
8;4
8;5
8;6
10;6
5;6
7;4
10;5
7;6
10;7
8;6
8;7
9;5
9;7
8;3
5;99
9;99
8;99
10;6
10;98
8;98
5;98
6;5
7;4
5;3
8;5
9;6
10;6
9;4
7;4
5;99
8;7
10;6
9;8
8;5
8;5
6;3
7;4
8;99
5;8
8;99
7;3
3;1
8;4
5;3
7;4
9;98
9;98
8;99
9;6
10;5
8;5
9;4
8;6
8;98
8;6
8;98
9;6
7;6
8;6
7;4
8;4
8;6
8;5
5;9
7;4
5;99
6;6
7;4
5;4
9;99
6;5
8;99
5;98
8;98
9;6
8;98
7;98
7;6
7;6
6;4
7;7
8;7
7;7
7;6
5;99
6;5
5;99
9;6
5;5
8;98
7;99
8;98
6;99
9;4
10;6
8;5
7;99
10;5
6;5
10;98
10;4
7;7
5;3
7;6
8;6
8;98
9;8
7;98
6;5
7;99
8;6
5;99
8;7
9;7
8;7
9;99
8;98
9;7
7;4
8;7
9;8
5;7
8;98
8;98
10;4
7;99
9;4
7;99
98;7
8;99
10;6
7;5
8;99
8;5
9;6
8;8
8;98
5;99
8;99
6;99
7;5
3;3
5;4
6;5
7;7
5;7
7;6
5;6
6;5
7;7
6;6
7;7
6;7
7;7
5;7
4;5
6;98
5;4
9;99
10;98
6;99
10;99
8;7
99;99
10;2
99;3
8;8
5;5
8;6
98;3
7;6
8;3
98;5
7;7
6;5
8;11
7;11
7;6
6;5
10;7
8;7
6;7
3;7
7;99
10;99
8;6
7;99
3;5
6;3
7;99
8;99
7;4
10;10
9;8
10;5
8;7
10;3
5;6
10;8
6;6
8;3
8;6
10;5
7;7
7;4
5;3
8;6
7;8
6;99
8;98
5;4
9;98
6;99
2;4
8;98
7;7
7;7
8;7
6;99
8;9
8;99
8;6
9;99
7;99
7;99
8;6
8;9
5;6
8;10
7;98
8;9
7;7
7;8
7;98
8;9
9;8
7;6
10;6
8;9
7;7
8;11
5;3
5;9
10;99
4;99
10;6
8;99
8;6
7;7
7;99
8;99
10;99
9;99
5;99
9;99
7;99
8;99
9;98
8;98
10;9
8;99
6;6
10;98
8;99
7;98
7;8
7;7
7;7
9;3
7;5
5;5
8;7
8;7
5;3
8;99
8;99
7;3
7;98
7;99
9;99
8;5
5;5
6;98
8;99
6;6
8;99
6;4
6;99
99;98
5;4
7;99
7;7
6;99
7;99
10;99
9;99
7;98
9;9
8;6
98;4
8;8
6;7
6;6
6;6
7;7
8;7
7;6
9;99
7;7
7;99
5;99
5;99
8;8
8;5
8;9
6;10
9;10
8;98
9;9
7;9
8;99
2;5
8;99
5;4
6;6
6;6
9;8
5;6
5;99
8;6
8;8
8;7
8;4
5;8
7;5
9;7
8;99
7;99
8;99
8;99
7;99
4;99
5;99
9;99
6;99
7;98
6;98
7;99
7;99
9;98
8;4
8;99
6;8
7;99
7;9
10;8
8;9
4;99
5;99
8;8
6;6
6;4
8;5
7;8
7;10
8;10
9;9
7;8
7;9
9;9
7;5
6;5
8;6
7;6
10;5
6;7
98;5
5;6
7;98
7;7
6;98
98;6
7;7
7;6
6;7
6;5
7;6
8;9
9;4
7;8
7;9
6;8
8;7
8;99
7;99
8;6
8;10
8;6
7;99
7;99
7;4
6;3
7;4
0;4
10;6
8;6
6;4
9;5
6;7
6;99
7;98
7;99
7;99
8;98
7;98
8;99
8;99
8;98
6;6
8;99
8;99
7;9
8;6
10;5
8;6
8;7
10;2
10;6
7;5
8;9
5;8
7;99
9;5
7;7
9;98
98;4
6;7
7;98
7;7
7;7
6;6
7;8
8;5
7;6
9;5
4;8
9;9
9;10
7;7
9;8
9;11
7;9
8;10
8;99
9;99
8;6
8;99
8;99
9;99
5;99
10;7
8;7
6;9
7;11
8;5
8;98
7;99
6;99
7;5
4;99
8;98
7;98
9;98
7;7
7;8
7;7
7;6
9;8
9;98
10;9
8;98
8;9
5;98
7;8
10;99
9;9
8;98
8;99
8;6
8;7
5;8
6;6
6;8
9;98
8;7
8;8
7;99
9;9
7;99
7;8
8;9
8;99
8;99
7;6
8;9
10;5
8;9
7;98
8;99
7;6
8;98
3;1
8;3
10;98
10;98
8;4
7;99
9;98
7;6
9;6
10;98
10;7
8;7
5;4
10;6
7;5
4;4
8;4
9;6
5;4
8;7
6;99
9;7
8;6
10;6
6;98
10;6
7;98
8;7
6;5
8;4
3;4
5;4
7;4
7;4
7;4
8;8
7;4
10;6
9;7
7;4
10;4
9;4
7;5
8;6
7;4
6;4
7;5
8;7
7;5
8;4
8;4
7;3
7;7
9;7
8;6
3;6
6;4
7;5
6;4
8;5
9;6
8;6
10;4
7;6
5;8
6;4
8;4
6;4
10;4
10;3
8;6
8;9
10;98
6;5
7;7
8;6
6;7
5;5
10;5
8;6
8;4
10;5
8;4
8;98
10;6
8;99
7;99
7;5
8;99
8;98
7;5
5;5
9;99
8;99
8;6
7;99
8;99
8;99
8;99
7;5
8;99
7;99
8;99
9;6
8;9
5;4
7;6
9;8
7;7
7;9
5;4
10;98
10;6
7;7
6;7
5;4
9;7
9;7
10;99
8;99
8;4
9;4
7;99
7;99
8;99
7;99
8;99
8;99
5;99
9;99
8;99
6;99
7;9
10;5
5;98
8;98
6;98
6;98
7;98
7;98
6;99
9;98
6;99
7;98
5;4
9;7
4;4
10;7
3;99
7;7
10;7
8;98
6;9
8;6
5;7
7;98
10;6
8;8
8;99
6;99
10;99
8;9
8;99
7;10
98;99
8;7
8;98
9;7
8;4
8;8
5;6
1;98
8;5
8;7
10;5
8;7
8;5
1;8
9;7
7;3
8;98
6;7
10;5
8;4
10;9
8;7
8;4
10;6
5;8
7;6
8;8
7;8
8;5
6;5
2;4
4;2
2;5
10;4
8;8
8;7
5;8
8;99
5;5
8;6
8;6
8;6
8;6
9;6
8;7
5;3
8;7
9;6
5;4
9;6
6;99
10;99
9;6
8;99
5;99
8;6
5;4
7;99
6;5
8;99
8;98
10;6
7;99
8;9
9;99
10;99
6;6
5;99
8;9
8;99
8;99
6;99
8;4
9;99
7;4
4;99
10;99
8;9
6;4
7;98
8;6
4;98
7;99
5;98
6;3
7;6
10;5
8;5
10;8
8;7
8;8
9;9
8;10
9;8
5;4
9;99
7;6
9;98
10;10
8;6
8;8
7;5
8;99
9;99
9;7
7;5
9;7
10;9
6;4
7;5
4;6
6;4
7;7
7;6
7;6
7;6
8;6
9;6
7;4
7;3
5;5
8;6
10;4
7;7
7;4
6;98
5;6
9;99
5;5
10;98
10;99
5;98
5;99
10;99
8;99
5;99
9;99
7;99
4;99
10;99
6;99
7;3
9;99
6;99
7;99
8;5
9;99
8;99
5;7
5;99
10;99
9;99
10;99
6;99
6;4
8;99
7;6
7;8
8;98
7;98
8;5
9;7
10;99
6;6
7;98
8;99
7;98
10;6
98;99
8;7
6;5
10;98
7;5
5;98
