season,team,league,player,country,position,date_birth,minutes_playing,minutes_per_match_playing,goals,assist,goals_minus_pk,pk,pk_attemp,yellow_card,red_card
2005,Ajaccio,Ligue 1,Djamel Abdoun,ALG,MF,1986,30,0.3,0,0,0,0,0,0,0
2005,Ajaccio,Ligue 1,Gaspar Azevedo,POR,DF,1975,1224,13.6,0,0,0,0,0,5,0
2005,Ajaccio,Ligue 1,Yacine Bezzaz,ALG,MF,1981,140,1.6,0,0,0,0,0,1,0
2005,Ajaccio,Ligue 1,Nicolas Bonnal,FRA,MF,1976,892,9.9,0,0,0,0,0,1,0
2005,Ajaccio,Ligue 1,Marcelinho Carioca,BRA,MF,1971,704,7.8,2,1,2,0,0,2,0
2005,Ajaccio,Ligue 1,Cyril Chapuis,FRA,FW,1979,1308,14.5,3,2,3,0,0,3,0
2005,Ajaccio,Ligue 1,Xavier Collin,FRA,DF,1974,2734,30.4,0,3,0,0,0,5,0
2005,Ajaccio,Ligue 1,Renaud Connen,FRA,MF,1980,896,10,0,0,0,0,0,2,0
2005,Ajaccio,Ligue 1,Yohan Demont,FRA,"DF,MF",1978,2658,29.5,2,6,2,0,0,4,0
2005,Ajaccio,Ligue 1,Christophe Destruhaut,FRA,DF,1973,74,0.8,0,0,0,0,0,0,0
2005,Ajaccio,Ligue 1,Nenad Džodić,SRB,"DF,MF",1977,2133,23.7,1,1,1,0,0,7,1
2005,Ajaccio,Ligue 1,Marcelo de Faria,BRA,"FW,MF",1979,1309,14.5,4,1,4,0,0,2,0
2005,Ajaccio,Ligue 1,Olivier Fauconnier,FRA,FW,1976,289,3.2,0,0,0,0,0,2,0
2005,Ajaccio,Ligue 1,Fabien Laurenti,FRA,DF,1983,2799,31.1,0,0,0,0,0,6,0
2005,Ajaccio,Ligue 1,Waldir Lucas Pereira,BRA,FW,1982,2113,23.5,11,0,11,0,0,2,0
2005,Ajaccio,Ligue 1,André Luiz Moreira,BRA,"DF,MF",1974,2241,24.9,6,3,4,2,3,5,0
2005,Ajaccio,Ligue 1,Laurent Merlin,FRA,"FW,MF",1984,272,3,1,0,1,0,0,1,0
2005,Ajaccio,Ligue 1,Abdelnasser Ouadah,ALG,"DF,MF",1975,2980,33.1,4,3,4,0,0,7,0
2005,Ajaccio,Ligue 1,Stéphane Porato,FRA,GK,1973,3150,35,0,0,0,0,0,0,0
2005,Ajaccio,Ligue 1,Martial Robin,FRA,"DF,MF",1977,2501,27.8,1,2,1,0,0,10,1
2005,Ajaccio,Ligue 1,Rodrigo,BRA,MF,1980,3212,35.7,0,1,0,0,0,9,1
2005,Ajaccio,Ligue 1,Mamadou Seck,SEN,DF,1979,2124,23.6,1,1,1,0,0,4,2
2005,Ajaccio,Ligue 1,David Terrier,FRA,DF,1973,1222,13.6,0,0,0,0,0,2,0
2005,Ajaccio,Ligue 1,Stéphane Trévisan,FRA,GK,1974,270,3,0,0,0,0,0,0,0
2005,Ajaccio,Ligue 1,Abderraouf Zarabi,ALG,DF,1979,21,0.2,0,NA,0,0,NA,0,0
2005,Albacete,La Liga,Mikel Aguirregomezkorta Larrea,ESP,FW,1974,1208,13.4,0,0,0,0,0,1,1
2005,Albacete,La Liga,Agus,ESP,"DF,FW",1985,630,7,0,0,0,0,0,1,0
2005,Albacete,La Liga,Carlos Alfaro Martínez,,MF,1983,90,1,0,0,0,0,NA,0,0
2005,Albacete,La Liga,Miquel Buades Crespí,ESP,DF,1980,2717,30.2,2,0,2,0,0,9,1
2005,Albacete,La Liga,Albert Cano López,ESP,MF,1983,118,1.3,0,0,0,0,NA,0,0
2005,Albacete,La Liga,Rubén Castro,ESP,"FW,MF",1981,1169,13,3,0,3,0,0,0,0
2005,Albacete,La Liga,Iván Díaz Ruiz,ESP,MF,1978,292,3.2,0,0,0,0,0,1,0
2005,Albacete,La Liga,Jordi Ferrón,ESP,DF,1978,11,0.1,0,NA,0,0,NA,1,0
2005,Albacete,La Liga,Francisco,ESP,FW,1978,1524,16.9,3,4,3,0,0,2,0
2005,Albacete,La Liga,Pablo García,ESP,DF,1985,75,0.8,0,NA,0,0,NA,0,0
2005,Albacete,La Liga,Pablo García,ESP,MF,1986,11,0.1,0,0,0,0,NA,0,0
2005,Albacete,La Liga,Gaspar,ESP,DF,1979,2022,22.5,1,0,1,0,0,12,2
2005,Albacete,La Liga,Ronny Gaspercic,BEL,GK,1969,1482,16.5,0,0,0,0,0,0,0
2005,Albacete,La Liga,Manuel Gato,ESP,FW,1984,54,0.6,0,NA,0,0,NA,0,0
2005,Albacete,La Liga,Mark González,CHI,"FW,MF",1984,1478,16.4,5,0,5,0,0,3,0
2005,Albacete,La Liga,Jaime,ESP,MF,1973,1602,17.8,0,1,0,0,0,4,1
2005,Albacete,La Liga,Abass Lawal,NGA,"FW,MF",1980,55,0.6,0,0,0,0,0,1,0
2005,Albacete,La Liga,Mingo,ESP,DF,1977,1241,13.8,0,0,0,0,0,5,0
2005,Albacete,La Liga,Elías Molina,ESP,MF,1982,53,0.6,0,0,0,0,NA,0,0
2005,Albacete,La Liga,Momo,ESP,MF,1982,1456,16.2,1,1,1,0,0,1,0
2005,Albacete,La Liga,Óscar Montiel,ESP,DF,1970,1561,17.3,0,1,0,0,0,6,0
2005,Albacete,La Liga,Martín Nicolás Camaño,,,1985,17,0.2,0,NA,0,0,NA,0,0
2005,Albacete,La Liga,Nicolás Olivera,URU,"FW,MF",1978,123,1.4,0,NA,0,0,NA,0,0
2005,Albacete,La Liga,Antonio Pacheco,URU,"FW,MF",1976,2934,32.6,12,5,10,2,3,7,1
2005,Albacete,La Liga,Paco Peña,ESP,DF,1978,2970,33,0,3,0,0,0,9,0
2005,Albacete,La Liga,Horacio Peralta,URU,"FW,MF",1982,644,7.2,0,0,0,0,0,5,1
2005,Albacete,La Liga,Ángel Pindado,ESP,GK,1976,90,1,0,0,0,0,0,0,0
2005,Albacete,La Liga,Pablo Redondo,ESP,MF,1982,2387,26.5,5,5,5,0,0,5,0
2005,Albacete,La Liga,Rubén,ESP,DF,1982,1907,21.2,0,0,0,0,0,5,0
2005,Albacete,La Liga,Álvaro Rubio,ESP,"DF,MF",1979,2068,23,0,1,0,0,0,6,0
2005,Albacete,La Liga,David Sánchez,ESP,MF,1982,768,8.5,0,1,0,0,0,3,1
